,Country,Happiness2015,GDP2015,Freedom2015,Generosity2015,Year2015,Corruption2015,Happiness2016,GDP2016,Freedom2016,Generosity2016,Year2016,Corruption2016,Happiness2017,GDP2017,Freedom2017,Generosity2017,Year2017,Corruption2017,Happiness2018,GDP2018,Freedom2018,Generosity2018,Year2018,Corruption2018,Happiness2019,GDP2019,Freedom2019,Generosity2019,Year2019,Corruption2019,Happiness2020,GDP2020,Freedom2020,Generosity2020,Year2020,Corruption2020,Happiness2021,GDP2021,Freedom2021,Generosity2021,Year2021,Corruption2021
0,Switzerland,7.587000000000001,1.3965100000000001,0.66557,0.29678000000000004,2015,0.41978000000000004,7.5089999999999995,1.5273299999999999,0.58557,0.28083,2016,0.41203,7.49399995803833,1.5649795532226598,0.620070576667786,0.29054927825927696,2017,0.36700728535652205,7.487,1.42,0.66,0.256,2018,0.35700000000000004,7.48,1.452,0.5720000000000001,0.263,2019,0.34299999999999997,7.559899807000001,1.39077425,0.921336651,0.269055754,2020,0.303728431,7.571000000000001,1.5659999999999998,0.919,0.204,2021,0.292
1,Iceland,7.561,1.3023200000000001,0.6287699999999999,0.4363,2015,0.14145,7.501,1.42666,0.56624,0.47678000000000004,2016,0.14975,7.50400018692017,1.480633020401,0.6271626353263849,0.47554022073745705,2017,0.15352655947208402,7.495,1.3430000000000002,0.677,0.353,2018,0.138,7.494,1.38,0.591,0.354,2019,0.11800000000000001,7.504499912000001,1.326501608,0.948891878,0.362330228,2020,0.7117097379999999,7.553999999999999,1.482,0.955,0.293,2021,0.6729999999999999
2,Denmark,7.527,1.32548,0.6493800000000001,0.34139,2015,0.48357,7.526,1.4417799999999998,0.5794100000000001,0.36171,2016,0.44453000000000004,7.52199983596802,1.48238301277161,0.626006722450256,0.3552804887294771,2017,0.40077006816863997,7.555,1.351,0.6829999999999999,0.284,2018,0.408,7.6,1.383,0.5920000000000001,0.252,2019,0.41,7.645599842,1.326948524,0.9514442679999999,0.24279339600000002,2020,0.168489456,7.62,1.5019999999999998,0.946,0.20800000000000002,2021,0.179
3,Norway,7.522,1.459,0.66973,0.34699,2015,0.36503,7.497999999999999,1.57744,0.59609,0.37895,2016,0.35775999999999997,7.537000179290769,1.6164631843566901,0.635422587394714,0.36201223731041,2017,0.31596383452415505,7.593999999999999,1.456,0.6859999999999999,0.28600000000000003,2018,0.34,7.553999999999999,1.4880000000000002,0.603,0.271,2019,0.341,7.487999916000001,1.42420733,0.955750287,0.287985086,2020,0.26321819399999996,7.392,1.5430000000000001,0.96,0.249,2021,0.27
4,Canada,7.4270000000000005,1.32629,0.63297,0.45811,2015,0.32957,7.404,1.44015,0.5737,0.44833999999999996,2016,0.31329,7.31599998474121,1.47920441627502,0.611100912094116,0.435539722442627,2017,0.287371516227722,7.327999999999999,1.33,0.653,0.321,2018,0.29100000000000004,7.278,1.365,0.584,0.285,2019,0.308,7.23210001,1.301647663,0.9339132309999999,0.28152892,2020,0.390843362,7.103,1.4469999999999998,0.915,0.24600000000000002,2021,0.415
5,Finland,7.406000000000001,1.29025,0.64169,0.23351,2015,0.41372,7.412999999999999,1.40598,0.57104,0.25492,2016,0.41003999999999996,7.468999862670901,1.44357192516327,0.6179508566856379,0.24548277258873,2017,0.38261154294014,7.632000000000001,1.305,0.6809999999999999,0.20199999999999999,2018,0.39299999999999996,7.769,1.34,0.596,0.153,2019,0.39299999999999996,7.808700085,1.285189509,0.949172199,0.159670442,2020,0.19544458399999998,7.8420000000000005,1.446,0.9490000000000001,0.124,2021,0.18600000000000003
6,Netherlands,7.377999999999999,1.32944,0.6157600000000001,0.4761,2015,0.31814000000000003,7.3389999999999995,1.46468,0.55211,0.47416,2016,0.29927,7.3769998550415,1.50394463539124,0.5853844881057739,0.47048982977867104,2017,0.282661825418472,7.441,1.361,0.638,0.33299999999999996,2018,0.295,7.4879999999999995,1.396,0.557,0.322,2019,0.298,7.448900223,1.338946342,0.908547819,0.336317569,2020,0.364717126,7.4639999999999995,1.501,0.9129999999999999,0.302,2021,0.33799999999999997
7,Sweden,7.364,1.33171,0.6598,0.36262,2015,0.43843999999999994,7.291,1.45181,0.58218,0.38254,2016,0.40867,7.28399991989136,1.49438726902008,0.612924098968506,0.38539925217628496,2017,0.384398728609085,7.314,1.355,0.659,0.285,2018,0.38299999999999995,7.343,1.3869999999999998,0.574,0.267,2019,0.373,7.353499889,1.322235227,0.939144194,0.272827893,2020,0.250880182,7.3629999999999995,1.4780000000000002,0.945,0.244,2021,0.237
8,New Zealand,7.2860000000000005,1.2501799999999998,0.6393800000000001,0.47501000000000004,2015,0.42922,7.334,1.36066,0.5814699999999999,0.49401000000000006,2016,0.41903999999999997,7.31400012969971,1.40570604801178,0.6140621304512021,0.500005125999451,2017,0.38281670212745705,7.324,1.268,0.669,0.365,2018,0.389,7.307,1.3030000000000002,0.585,0.33,2019,0.38,7.2996001239999995,1.242317915,0.9362174870000001,0.325726211,2020,0.22113885,7.277,1.4,0.929,0.276,2021,0.242
9,Australia,7.284,1.33358,0.6512399999999999,0.43562,2015,0.35636999999999996,7.313,1.4444299999999999,0.5683699999999999,0.47407,2016,0.32331,7.28399991989136,1.4844149351120002,0.601607382297516,0.47769924998283403,2017,0.301183730363846,7.272,1.34,0.647,0.361,2018,0.302,7.228,1.3719999999999999,0.557,0.332,2019,0.29,7.222799778,1.310396433,0.915431738,0.324973613,2020,0.41516912,7.183,1.453,0.914,0.29100000000000004,2021,0.442
10,Israel,7.278,1.2285700000000002,0.41318999999999995,0.33171999999999996,2015,0.07785,7.267,1.33766,0.36432,0.32288,2016,0.08728,7.212999820709231,1.3753824234008798,0.40598860383033797,0.330082654953003,2017,0.0852421000599861,6.814,1.301,0.5329999999999999,0.354,2018,0.272,7.138999999999999,1.276,0.371,0.261,2019,0.08199999999999999,7.128600121,1.216463685,0.7475805879999999,0.26686179600000004,2020,0.78085506,7.157,1.376,0.8,0.20800000000000002,2021,0.753
11,Costa Rica,7.226,0.95578,0.63376,0.25497,2015,0.10583,7.087000000000001,1.06879,0.55225,0.22553,2016,0.10547000000000001,7.0789999961853,1.10970628261566,0.580131649971008,0.21461322903633104,2017,0.100106589496136,7.072,1.01,0.632,0.14300000000000002,2018,0.10099999999999999,7.167000000000001,1.034,0.5579999999999999,0.14400000000000002,2019,0.09300000000000001,7.121399879,0.981107712,0.9347389340000001,0.131266311,2020,0.7863324279999999,7.069,1.1340000000000001,0.934,0.105,2021,0.809
12,Austria,7.2,1.33723,0.62433,0.33088,2015,0.18675999999999998,7.119,1.45038,0.54355,0.32865,2016,0.21348000000000003,7.00600004196167,1.4870972633361799,0.567766189575195,0.316472321748734,2017,0.22106036543846105,7.138999999999999,1.341,0.617,0.242,2018,0.22399999999999998,7.246,1.376,0.532,0.244,2019,0.226,7.294199944,1.317285538,0.899989486,0.255509764,2020,0.49995487899999996,7.268,1.492,0.9079999999999999,0.215,2021,0.48100000000000004
13,Mexico,7.187,1.02054,0.48181,0.14074,2015,0.21311999999999998,6.778,1.1150799999999998,0.37709000000000004,0.11735,2016,0.18355,6.57800006866455,1.1531838178634601,0.412730008363724,0.12099043279886199,2017,0.132774114608765,6.4879999999999995,1.038,0.479,0.069,2018,0.095,6.595,1.07,0.433,0.07400000000000001,2019,0.073,6.465000152999999,1.024387479,0.8587092759999999,0.083094485,2020,0.806821585,6.317,1.126,0.862,0.092,2021,0.799
14,United States,7.119,1.3945100000000001,0.54604,0.40105,2015,0.1589,7.104,1.50796,0.48163,0.41076999999999997,2016,0.14868,6.993000030517581,1.54625928401947,0.505740523338318,0.392578780651093,2017,0.135638788342476,6.886,1.3980000000000001,0.547,0.29100000000000004,2018,0.133,6.892,1.433,0.45399999999999996,0.28,2019,0.128,6.939599991000001,1.37398684,0.842619538,0.298143059,2020,0.6997153159999999,6.9510000000000005,1.5330000000000001,0.8370000000000001,0.252,2021,0.698
15,Brazil,6.983,0.98124,0.49049,0.14574,2015,0.17521,6.952000000000001,1.08754,0.40425,0.15775999999999998,2016,0.14165999999999998,6.6350002288818395,1.1073532104492199,0.437453746795654,0.16234989464282998,2017,0.11109276115894301,6.419,0.986,0.493,0.11,2018,0.08800000000000001,6.3,1.004,0.39,0.099,2019,0.086,6.375599861,0.952679873,0.799804807,0.131674588,2020,0.7706012729999999,6.33,1.028,0.804,0.142,2021,0.7559999999999999
16,Luxembourg,6.946000000000001,1.5639100000000001,0.61583,0.28034000000000003,2015,0.37798000000000004,6.871,1.6975200000000001,0.5487,0.27571,2016,0.35329,6.86299991607666,1.74194359779358,0.59662789106369,0.283180981874466,2017,0.31883442401886,6.91,1.5759999999999998,0.632,0.196,2018,0.321,7.09,1.609,0.526,0.19399999999999998,2019,0.316,7.2375001910000005,1.536676049,0.90563643,0.19595392,2020,0.367084295,7.324,1.751,0.907,0.166,2021,0.386
17,Ireland,6.94,1.33596,0.6177699999999999,0.45901000000000003,2015,0.28703,6.907,1.4834100000000001,0.54008,0.44963000000000003,2016,0.29754,6.9770002365112305,1.5357066392898602,0.5731103420257571,0.42785832285881,2017,0.29838815331459007,6.977,1.4480000000000002,0.614,0.307,2018,0.306,7.021,1.499,0.516,0.298,2019,0.31,7.093699932000001,1.446886778,0.8869829770000001,0.295426995,2020,0.357184172,7.085,1.6440000000000001,0.879,0.23800000000000002,2021,0.363
18,Belgium,6.937,1.30782,0.5845,0.2225,2015,0.2254,6.928999999999999,1.42539,0.51354,0.2424,2016,0.26248,6.89099979400635,1.4637807607650801,0.5397707223892211,0.23150333762168898,2017,0.251343131065369,6.9270000000000005,1.324,0.583,0.188,2018,0.24,6.922999999999999,1.3559999999999999,0.473,0.16,2019,0.21,6.863500117999999,1.2958427670000001,0.813582063,0.146966159,2020,0.612297952,6.834,1.463,0.7829999999999999,0.08800000000000001,2021,0.6459999999999999
19,United Arab Emirates,6.901,1.42727,0.64157,0.26428,2015,0.38583,6.5729999999999995,1.57352,0.56215,0.26591,2016,0.35561,6.6479997634887695,1.6263433694839498,0.60834527015686,0.3609419465065,2017,0.324489563703537,6.774,2.096,0.284,0.18600000000000003,2018,,6.825,1.5030000000000001,0.598,0.262,2019,0.182,6.790800095,1.4310864209999998,0.941345513,0.28065598,2020,0.594502211,6.561,1.555,0.932,0.23600000000000002,2021,0.589
20,United Kingdom,6.867000000000001,1.26637,0.59625,0.51912,2015,0.32066999999999996,6.725,1.40283,0.50036,0.50156,2016,0.27399,6.71400022506714,1.44163393974304,0.508190035820007,0.492774158716202,2017,0.265428066253662,7.19,1.244,0.46399999999999997,0.262,2018,0.08199999999999999,7.053999999999999,1.3330000000000002,0.45,0.348,2019,0.278,7.164500237,1.273061037,0.834743679,0.37343344100000003,2020,0.43591591700000004,7.064,1.423,0.8590000000000001,0.34,2021,0.45899999999999996
21,Oman,6.853,1.36011,0.63274,0.21541999999999997,2015,0.32524000000000003,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,Venezuela,6.81,1.04424,0.42908,0.058410000000000004,2015,0.11069000000000001,6.084,1.1336700000000002,0.19847,0.0425,2016,0.08304,5.25,1.12843120098114,0.15399712324142498,0.0650196298956871,2017,0.0644911229610443,4.806,0.996,0.133,0.055999999999999994,2018,0.052000000000000005,4.707,0.96,0.154,0.064,2019,0.047,5.053199768,0.7702386379999999,0.62327832,0.08717915400000001,2020,0.837038398,4.8919999999999995,0.852,0.615,0.078,2021,0.8270000000000001
23,Singapore,6.797999999999999,1.52186,0.54252,0.31105,2015,0.4921,6.739,1.64555,0.4877,0.32706,2016,0.46986999999999995,6.57200002670288,1.69227766990662,0.549840569496155,0.345965981483459,2017,0.46430778503417997,6.343,1.5290000000000001,0.631,0.261,2018,0.457,6.2620000000000005,1.5719999999999998,0.556,0.271,2019,0.45299999999999996,6.377099991000001,1.519580126,0.926645339,0.21877090600000001,2020,0.109784193,6.377000000000001,1.695,0.927,0.17600000000000002,2021,0.08199999999999999
24,Panama,6.7860000000000005,1.0635299999999999,0.5421,0.24434,2015,0.0927,6.7010000000000005,1.18306,0.48927,0.2418,2016,0.08423,6.4520001411438,1.23374843597412,0.550026834011078,0.21055693924427,2017,0.070983923971653,6.43,1.112,0.597,0.125,2018,0.063,6.321000000000001,1.149,0.516,0.109,2019,0.054000000000000006,6.304800033999999,1.097667813,0.880366504,0.097207308,2020,0.851588905,6.18,1.298,0.872,0.079,2021,0.856
25,Germany,6.75,1.32792,0.6147699999999999,0.28214,2015,0.21843,6.994,1.44787,0.53466,0.30451999999999996,2016,0.28551,6.9510002136230495,1.48792338371277,0.562511384487152,0.33626917004585305,2017,0.276731938123703,6.965,1.34,0.586,0.273,2018,0.28,6.985,1.3730000000000002,0.495,0.261,2019,0.265,7.075799942000001,1.314184546,0.867371082,0.252037704,2020,0.456422031,7.155,1.48,0.875,0.195,2021,0.46
26,Chile,6.67,1.10715,0.44132,0.33363000000000004,2015,0.12869,6.705,1.2167,0.37789,0.31595,2016,0.11450999999999999,6.65199995040894,1.25278460979462,0.376895278692245,0.3266624212265011,2017,0.0822879821062088,6.476,1.131,0.431,0.19699999999999998,2018,0.061,6.444,1.159,0.35700000000000004,0.187,2019,0.055999999999999994,6.228499889,1.096992493,0.7448962929999999,0.155579001,2020,0.838239431,6.172000000000001,1.2,0.742,0.159,2021,0.83
27,Qatar,6.611000000000001,1.69042,0.6404,0.32573,2015,0.52208,6.375,1.82427,0.56679,0.32388,2016,0.48049,6.375,1.8707656860351598,0.604130983352661,0.33047387003898604,2017,0.43929925560951205,6.374,1.649,0.654,0.256,2018,0.171,6.374,1.6840000000000002,0.555,0.22,2019,0.16699999999999998,,,,,,,,,,,,
28,France,6.575,1.27778,0.55011,0.12332,2015,0.20646,6.478,1.39488,0.46562,0.1216,2016,0.17808,6.44199991226196,1.43092346191406,0.470222115516663,0.129762306809425,2017,0.172502428293228,6.489,1.2930000000000001,0.52,0.098,2018,0.17600000000000002,6.5920000000000005,1.324,0.436,0.111,2019,0.183,6.663799762999999,1.268129349,0.8254676459999999,0.112607703,2020,0.583521128,6.69,1.421,0.8220000000000001,0.092,2021,0.5710000000000001
